x-axis,1,2,EXT
second,Volt,Volt,
-1.10000E-03,,,1
-1.07500E-03,+48.24121E-03,-4.02010E-03,0
-1.05000E-03,+34.17085E-03,-4.02010E-03,0
-1.02500E-03,+48.24121E-03,-2.51256E-03,0
-1.00000E-03,+48.24121E-03,-4.52261E-03,0
-975.00E-06,+46.23116E-03,-8.04020E-03,0
-950.00E-06,+50.25126E-03,-6.03015E-03,0
-925.00E-06,+50.25126E-03,-4.02010E-03,0
-900.00E-06,+48.24121E-03,-5.52764E-03,0
-875.00E-06,+42.21105E-03,-4.52261E-03,0
-850.00E-06,+48.24121E-03,-4.02010E-03,0
-825.00E-06,+48.24121E-03,-3.51759E-03,0
-800.00E-06,+48.24121E-03,-5.52764E-03,0
-775.00E-06,+48.24121E-03,-6.03015E-03,0
-750.00E-06,+48.24121E-03,-5.52764E-03,0
-725.00E-06,+48.24121E-03,-3.51759E-03,0
-700.00E-06,+48.24121E-03,-4.02010E-03,0
-675.00E-06,+50.25126E-03,-5.02513E-03,0
-650.00E-06,+50.25126E-03,-4.52261E-03,0
-625.00E-06,+48.24121E-03,-6.03015E-03,0
-600.00E-06,+54.27136E-03,-6.53266E-03,0
-575.00E-06,+50.25126E-03,-6.03015E-03,0
-550.00E-06,+48.24121E-03,-5.52764E-03,0
-525.00E-06,+48.24121E-03,-6.03015E-03,0
-500.00E-06,+46.23116E-03,-4.02010E-03,0
-475.00E-06,+56.28141E-03,-7.03518E-03,0
-450.00E-06,+48.24121E-03,-8.04020E-03,0
-425.00E-06,+48.24121E-03,-6.53266E-03,0
-400.00E-06,+48.24121E-03,-6.53266E-03,0
-375.00E-06,+48.24121E-03,-7.53769E-03,0
-350.00E-06,+48.24121E-03,-6.03015E-03,0
-325.00E-06,+50.25126E-03,-6.03015E-03,0
-300.00E-06,+48.24121E-03,-6.03015E-03,0
-275.00E-06,+40.20100E-03,-6.03015E-03,0
-250.00E-06,+50.25126E-03,-5.52764E-03,0
-225.00E-06,+48.24121E-03,-2.51256E-03,0
-200.00E-06,+48.24121E-03,-4.02010E-03,0
-175.00E-06,+42.21105E-03,-4.02010E-03,0
-150.00E-06,+56.28141E-03,-2.51256E-03,0
-125.00E-06,+56.28141E-03,-6.03015E-03,0
-100.00E-06,+50.25126E-03,-4.52261E-03,0
-75.00E-06,+46.23116E-03,-6.03015E-03,0
-50.00E-06,+54.27136E-03,-6.03015E-03,0
-25.00E-06,+48.24121E-03,-5.52764E-03,0
-0.0E+00,+48.24121E-03,-5.52764E-03,1
+25.00E-06,+24.12060E-03,-2.01005E-03,0
+50.00E-06,+729.64823E-03,-33.66834E-03,0
+75.00E-06,+1.02110552E+00,-187.93970E-03,0
+100.00E-06,+1.02110552E+00,-55.27638E-03,0
+125.00E-06,+1.02110552E+00,+126.13065E-03,0
+150.00E-06,+1.02110552E+00,-502.51E-06,0
+175.00E-06,+1.02110552E+00,-143.21608E-03,0
+200.00E-06,+1.02110552E+00,-2.51256E-03,0
+225.00E-06,+1.02110552E+00,+130.15075E-03,0
+250.00E-06,+1.02110552E+00,-21.60804E-03,0
+275.00E-06,+1.02110552E+00,-134.67337E-03,0
+300.00E-06,+1.02110552E+00,+26.63317E-03,0
+325.00E-06,+1.02110552E+00,+119.09548E-03,0
+350.00E-06,+1.02110552E+00,-51.75879E-03,0
+375.00E-06,+1.02110552E+00,-123.61809E-03,0
+400.00E-06,+1.02110552E+00,+52.76382E-03,0
+425.00E-06,+1.02110552E+00,+105.02512E-03,0
+450.00E-06,+1.02110552E+00,-76.38191E-03,0
+475.00E-06,+1.02110552E+00,-105.52764E-03,0
+500.00E-06,+1.02110552E+00,+76.38191E-03,0
+525.00E-06,+1.02110552E+00,+84.42211E-03,0
+550.00E-06,+1.02110552E+00,-90.95477E-03,0
+575.00E-06,+1.02110552E+00,-89.94975E-03,0
+600.00E-06,+1.02110552E+00,+86.93467E-03,0
+625.00E-06,+1.02110552E+00,+59.79899E-03,0
+650.00E-06,+1.02110552E+00,-107.03517E-03,0
+675.00E-06,+1.02110552E+00,-59.79899E-03,0
+700.00E-06,+1.02110552E+00,+101.00502E-03,0
+725.00E-06,+1.02110552E+00,+38.19095E-03,0
+750.00E-06,+1.02110552E+00,-114.07035E-03,0
