x-axis,1,2
second,Volt,Volt
-230.000E-06,,
-227.500E-06,,
-225.000E-06,+35.411130E-03,+13.475E-06
-222.500E-06,+37.135754E-03,+716.993E-06
-220.000E-06,+38.128715E-03,+234.581E-06
-217.500E-06,+37.579976E-03,+696.893E-06
-215.000E-06,+36.325703E-03,+621.515E-06
-212.500E-06,+36.978970E-03,+113.979E-06
-210.000E-06,+37.344796E-03,+480.811E-06
-207.500E-06,+38.285502E-03,-71.952E-06
-205.000E-06,+38.363898E-03,+480.813E-06
-202.500E-06,+39.592035E-03,+340.108E-06
-200.000E-06,+37.370938E-03,+139.106E-06
-197.500E-06,+37.266388E-03,+636.590E-06
-195.000E-06,+36.299583E-03,+897.900E-06
-192.500E-06,+36.116653E-03,+681.813E-06
-190.000E-06,+35.672437E-03,+68.751E-06
-187.500E-06,+35.019177E-03,+214.483E-06
-185.000E-06,+37.318688E-03,-182.503E-06
-182.500E-06,+36.743780E-03,-1.122200E-03
-180.000E-06,+37.292530E-03,-730.245E-06
-177.500E-06,+36.613172E-03,-1.408631E-03
-175.000E-06,+37.762856E-03,-1.267930E-03
-172.500E-06,+38.363920E-03,-403.607E-06
-170.000E-06,+39.513652E-03,-162.404E-06
-167.500E-06,+38.102597E-03,-484.009E-06
-165.000E-06,+39.513623E-03,-609.642E-06
-162.500E-06,+37.762920E-03,-690.038E-06
-160.000E-06,+42.048306E-03,-1.197582E-03
-157.500E-06,+43.459360E-03,-1.544314E-03
-155.000E-06,+41.055317E-03,-2.247842E-03
-152.500E-06,+41.551834E-03,-2.197569E-03
-150.000E-06,+42.597011E-03,-1.845819E-03
-147.500E-06,+41.760917E-03,-2.061897E-03
-145.000E-06,+42.022172E-03,-1.544314E-03
-142.500E-06,+43.929683E-03,-1.825726E-03
-140.000E-06,+41.656301E-03,-2.654877E-03
-137.500E-06,+45.732781E-03,-3.051851E-03
-135.000E-06,+45.654376E-03,-3.222703E-03
-132.500E-06,+44.530683E-03,-2.986528E-03
-130.000E-06,+43.276488E-03,-3.132259E-03
-127.500E-06,+43.198017E-03,-3.509150E-03
-125.000E-06,+41.551866E-03,-3.805614E-03
-122.500E-06,+41.003073E-03,-3.911151E-03
-120.000E-06,+40.924749E-03,-3.845818E-03
-117.500E-06,+40.558852E-03,-3.755386E-03
-115.000E-06,+40.480495E-03,-4.262903E-03
-112.500E-06,+40.898568E-03,-4.559389E-03
-110.000E-06,+40.924717E-03,-4.438790E-03
-107.500E-06,+39.748781E-03,-4.433761E-03
-105.000E-06,+41.290625E-03,-3.981481E-03
