x-axis,1,EXT
second,Volt,
-670.000E-09,,1
-667.000E-09,,1
-664.000E-09,+0.0E+00,0
-661.000E-09,+0.0E+00,0
-658.000E-09,+0.0E+00,0
-655.000E-09,+0.0E+00,0
-652.000E-09,+0.0E+00,0
-649.000E-09,+0.0E+00,0
-646.000E-09,+0.0E+00,0
-643.000E-09,-233.165830374E-03,0
-640.000E-09,-87.437186390E-03,0
-637.000E-09,+0.0E+00,0
-634.000E-09,-233.165830374E-03,0
-631.000E-09,-233.165830374E-03,0
-628.000E-09,-233.165830374E-03,0
-625.000E-09,+0.0E+00,0
-622.000E-09,+0.0E+00,0
-619.000E-09,+0.0E+00,0
-616.000E-09,-233.165830374E-03,0
-613.000E-09,-233.165830374E-03,0
-610.000E-09,-233.165830374E-03,0
-607.000E-09,-233.165830374E-03,0
-604.000E-09,-233.165830374E-03,0
-601.000E-09,-145.728643983E-03,0
-598.000E-09,-145.728643984E-03,0
-595.000E-09,+0.0E+00,0
-592.000E-09,+0.0E+00,0
-589.000E-09,+0.0E+00,0
-586.000E-09,+0.0E+00,0
-583.000E-09,-233.165830374E-03,0
-580.000E-09,-233.165830374E-03,0
-577.000E-09,-233.165830374E-03,0
-574.000E-09,-233.165830374E-03,0
-571.000E-09,-233.165830374E-03,0
-568.000E-09,-233.165830374E-03,0
-565.000E-09,-233.165830374E-03,0
-562.000E-09,-87.437186390E-03,0
-559.000E-09,+0.0E+00,0
-556.000E-09,+0.0E+00,0
-553.000E-09,+0.0E+00,0
-550.000E-09,-233.165830374E-03,0
-547.000E-09,-233.165830374E-03,0
-544.000E-09,-233.165830374E-03,0
-541.000E-09,-87.437186390E-03,0
-538.000E-09,+0.0E+00,0
-535.000E-09,-233.165830374E-03,0
-532.000E-09,-87.437186390E-03,0
-529.000E-09,+0.0E+00,0
-526.000E-09,-233.165830374E-03,0
-523.000E-09,-233.165830374E-03,0
-520.000E-09,-233.165830374E-03,0
-517.000E-09,-233.165830374E-03,0
-514.000E-09,-87.437186390E-03,0
-511.000E-09,+0.0E+00,0
-508.000E-09,+0.0E+00,0
-505.000E-09,+0.0E+00,0
-502.000E-09,+0.0E+00,0
-499.000E-09,+0.0E+00,0
-496.000E-09,-233.165830374E-03,0
-493.000E-09,-233.165830374E-03,0
-490.000E-09,-87.437186390E-03,0
-487.000E-09,+0.0E+00,0
-484.000E-09,-145.728643984E-03,0
-481.000E-09,-233.165830374E-03,0
-478.000E-09,-233.165830374E-03,0
-475.000E-09,-87.437186390E-03,0
-472.000E-09,+0.0E+00,0
-469.000E-09,-145.728643984E-03,0
-466.000E-09,-233.165830374E-03,0
-463.000E-09,-233.165830374E-03,0
-460.000E-09,-233.165830374E-03,0
-457.000E-09,-233.165830374E-03,0
-454.000E-09,-87.437186390E-03,0
-451.000E-09,+0.0E+00,0
-448.000E-09,+0.0E+00,0
-445.000E-09,-233.165830374E-03,0
-442.000E-09,+0.0E+00,0
-439.000E-09,+0.0E+00,0
-436.000E-09,+0.0E+00,0
-433.000E-09,-233.165830374E-03,0
-430.000E-09,-233.165830374E-03,0
-427.000E-09,-233.165830374E-03,0
-424.000E-09,-233.165830374E-03,0
-421.000E-09,-233.165830374E-03,0
-418.000E-09,-233.165830374E-03,0
-415.000E-09,-233.165830374E-03,0
-412.000E-09,-233.165830374E-03,0
-409.000E-09,-233.165830374E-03,0
-406.000E-09,-233.165830374E-03,0
-403.000E-09,-233.165830374E-03,0
-400.000E-09,-233.165830374E-03,0
-397.000E-09,-87.437186390E-03,0
-394.000E-09,+0.0E+00,0
-391.000E-09,+0.0E+00,0
-388.000E-09,+0.0E+00,0
-385.000E-09,+0.0E+00,0
-382.000E-09,+0.0E+00,0
-379.000E-09,-233.165830374E-03,0
-376.000E-09,-233.165830374E-03,0
-373.000E-09,-233.165830374E-03,0
-370.000E-09,-233.165830374E-03,0
-367.000E-09,-233.165830374E-03,0
-364.000E-09,-233.165830374E-03,0
-361.000E-09,-233.165830374E-03,0
-358.000E-09,-233.165830374E-03,0
-355.000E-09,+0.0E+00,0
-352.000E-09,+0.0E+00,0
-349.000E-09,-233.165830374E-03,0
-346.000E-09,-233.165830374E-03,0
-343.000E-09,-233.165830374E-03,0
-340.000E-09,+0.0E+00,0
-337.000E-09,+0.0E+00,0
-334.000E-09,+0.0E+00,0
-331.000E-09,+0.0E+00,0
-328.000E-09,+0.0E+00,0
-325.000E-09,+0.0E+00,0
-322.000E-09,+0.0E+00,0
-319.000E-09,+0.0E+00,0
-316.000E-09,-233.165830374E-03,0
-313.000E-09,-87.437186390E-03,0
-310.000E-09,+0.0E+00,0
-307.000E-09,+0.0E+00,0
-304.000E-09,-87.437186390E-03,0
-301.000E-09,+0.0E+00,0
-298.000E-09,+0.0E+00,0
-295.000E-09,+0.0E+00,0
-292.000E-09,+0.0E+00,0
-289.000E-09,-233.165830374E-03,0
-286.000E-09,-87.437186390E-03,0
-283.000E-09,+0.0E+00,0
-280.000E-09,+0.0E+00,0
-277.000E-09,+0.0E+00,0
-274.000E-09,+0.0E+00,0
-271.000E-09,-233.165830374E-03,0
-268.000E-09,-233.165830374E-03,0
-265.000E-09,-87.437186390E-03,0
-262.000E-09,+0.0E+00,0
-259.000E-09,-233.165830374E-03,0
-256.000E-09,-233.165830374E-03,0
-253.000E-09,-233.165830374E-03,0
-250.000E-09,-233.165830374E-03,0
-247.000E-09,-233.165830374E-03,0
-244.000E-09,+0.0E+00,0
-241.000E-09,-233.165830374E-03,0
-238.000E-09,+0.0E+00,0
-235.000E-09,-87.437186390E-03,0
-232.000E-09,-233.165830374E-03,0
-229.000E-09,-87.437186390E-03,0
-226.000E-09,-233.165830374E-03,0
-223.000E-09,+0.0E+00,0
-220.000E-09,+0.0E+00,0
-217.000E-09,-233.165830374E-03,0
-214.000E-09,-233.165830374E-03,0
-211.000E-09,+0.0E+00,0
-208.000E-09,+0.0E+00,0
-205.000E-09,+0.0E+00,0
-202.000E-09,+0.0E+00,0
-199.000E-09,-145.728643984E-03,0
-196.000E-09,-233.165830374E-03,0
-193.000E-09,-233.165830374E-03,0
-190.000E-09,-233.165830374E-03,0
-187.000E-09,-233.165830374E-03,0
-184.000E-09,+0.0E+00,0
-181.000E-09,+0.0E+00,0
-178.000E-09,+0.0E+00,0
-175.000E-09,-233.165830374E-03,0
-172.000E-09,+0.0E+00,0
-169.000E-09,+0.0E+00,0
-166.000E-09,+0.0E+00,0
-163.000E-09,+0.0E+00,0
-160.000E-09,+0.0E+00,0
-157.000E-09,-233.165830374E-03,0
-154.000E-09,-233.165830374E-03,0
-151.000E-09,-233.165830374E-03,0
-148.000E-09,-233.165830374E-03,0
-145.000E-09,-233.165830374E-03,0
-142.000E-09,-233.165830374E-03,0
-139.000E-09,-87.437186390E-03,0
-136.000E-09,+0.0E+00,0
-133.000E-09,+0.0E+00,0
-130.000E-09,+0.0E+00,0
-127.000E-09,+0.0E+00,0
-124.000E-09,+0.0E+00,0
